NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,MISEQ_ID,n,LOCATION,SLG,BARRIERS
M129662,M1329,2C,011,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,2/22/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Bear Canyon Creek,"Lower Anderson Creek, Upper Putah/Lower Anderson",Upper Putah/Lower Anderson,NA,NA,38.774319,-122.692899,Upstream of Bridge,steelhead4274,4,Putah,HLAC,Above
M129663,M1329,2D,012,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,2/22/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Bear Canyon Creek,"Anderson Creek, Above Waterfalls",Above Waterfalls,NA,NA,38.783416,-122.719985,Above Waterfalls,steelhead4286,33,Putah,HAAW,Above
M129664,M1329,2E,013,5597,NA,Oncorhynchus,mykiss,88.9,NA,NA,NA,NA,NA,NA,NA,2/22/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Bear Canyon Creek,"Anderson Creek, Above Waterfalls",Above Waterfalls,NA,NA,38.783619,-122.721065,Above Waterfalls,steelhead4298,33,Putah,HAAW,Above
M129665,M1329,2F,014,5597,NA,Oncorhynchus,mykiss,330.2,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4310,27,Putah,HIDR,Above
M129666,M1329,2G,015,5597,NA,Oncorhynchus,mykiss,406.4,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4322,27,Putah,HIDR,Above
M129667,M1329,2H,016,5597,NA,Oncorhynchus,mykiss,355.6,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4334,27,Putah,HIDR,Above
M129668,M1329,3A,017,5597,NA,Oncorhynchus,mykiss,533.4,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4251,27,Putah,HIDR,Above
M129669,M1329,3B,018,5597,NA,Oncorhynchus,mykiss,203.2,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4263,27,Putah,HIDR,Above
M129670,M1329,3C,019,5597,NA,Oncorhynchus,mykiss,279.4,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4275,27,Putah,HIDR,Above
M129671,M1329,3D,020,5597,NA,Oncorhynchus,mykiss,279.4,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4287,27,Putah,HIDR,Above
M129672,M1329,3E,021,5597,NA,Oncorhynchus,mykiss,203.2,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4299,27,Putah,HIDR,Above
M129673,M1329,3F,022,5597,NA,Oncorhynchus,mykiss,406.4,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4311,27,Putah,HIDR,Above
M129674,M1329,3G,023,5597,NA,Oncorhynchus,mykiss,279.4,NA,NA,NA,NA,NA,NA,NA,9/14/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.509483,-122.047122,Access 5_Upstream,steelhead4323,27,Putah,HIDR,Above
M129675,M1329,3H,024,5597,NA,Oncorhynchus,mykiss,279.4,NA,NA,NA,NA,NA,NA,NA,9/24/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.515339,-122.065041,Access3_Upstream_B,steelhead4335,27,Putah,HIDR,Above
M129676,M1329,4A,025,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,LPC = Lower Putah Creek in the anadromous water,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.52601,-121.950808,LPC_Blw_I505_Island,steelhead4252,27,Putah,HANR,Below
M129677,M1329,4B,026,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.52601,-121.950808,LPC_Blw_I505_Island,steelhead4264,27,Putah,HANR,Below
M129678,M1329,4C,027,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.52601,-121.950808,LPC_Blw_I505_Island,steelhead4276,27,Putah,HANR,Below
M129679,M1329,4D,028,5597,NA,Oncorhynchus,mykiss,152.4,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.52601,-121.950808,LPC_Blw_I505_Island,steelhead4288,27,Putah,HANR,Below
M129680,M1329,4E,029,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.52601,-121.950808,LPC_Blw_I505_Island,steelhead4300,27,Putah,HANR,Below
M129681,M1329,4F,030,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.52601,-121.950808,LPC_Blw_I505_Island,steelhead4312,27,Putah,HANR,Below
M129682,M1329,4G,031,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.525746,-121.952639,LPC_Blw_I505_Island,steelhead4324,27,Putah,HANR,Below
M129683,M1329,4H,032,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.525746,-121.952639,LPC_Blw_I505_Weir,steelhead4336,27,Putah,HANR,Below
M129684,M1329,5A,033,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.525746,-121.952639,LPC_Blw_I505_Weir,steelhead4253,27,Putah,HANR,Below
M129685,M1329,5B,034,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,WPCP = Winters Putah Creek Park,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4265,27,Putah,HANR,Below
M129686,M1329,5C,035,5597,NA,Oncorhynchus,mykiss,177.8,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4277,27,Putah,HANR,Below
M129687,M1329,5D,036,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4289,27,Putah,HANR,Below
M129688,M1329,5E,037,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4301,27,Putah,HANR,Below
M129689,M1329,5F,038,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4313,27,Putah,HANR,Below
M129690,M1329,5G,039,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4325,27,Putah,HANR,Below
M129691,M1329,5H,040,5597,NA,Oncorhynchus,mykiss,177.8,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4337,27,Putah,HANR,Below
M129692,M1329,6A,041,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.522739,-121.963287,LPC_WPCP,steelhead4254,27,Putah,HANR,Below
M129693,M1329,6B,042,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,GRP = Green River Brewery,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.518275,-121.9692,LPC_GRB,steelhead4266,27,Putah,HANR,Below
M129694,M1329,6C,043,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.518275,-121.9692,LPC_GRB,steelhead4278,27,Putah,HANR,Below
M129695,M1329,6D,044,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.495581,-122.001528,LPC_Hernandez,steelhead4290,27,Putah,HANR,Below
M129696,M1329,6E,045,5597,NA,Oncorhynchus,mykiss,228.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.50749,-122.045804,Access 5_Downstream,steelhead4302,27,Putah,HIDR,Above
M129697,M1329,6F,046,5597,NA,Oncorhynchus,mykiss,177.8,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.50749,-122.045805,Access 5_Downstream,steelhead4314,27,Putah,HIDR,Above
M129698,M1329,6G,047,5597,NA,Oncorhynchus,mykiss,228.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.50749,-122.045806,Access 5_Downstream,steelhead4326,27,Putah,HIDR,Above
M129699,M1329,6H,048,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.50749,-122.045807,Access 5_Downstream,steelhead4338,27,Putah,HIDR,Above
M129700,M1329,7A,049,5597,NA,Oncorhynchus,mykiss,330.2,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.50749,-122.045808,Access 5_Downstream,steelhead4255,27,Putah,HIDR,Above
M129701,M1329,7B,050,5597,NA,Oncorhynchus,mykiss,254,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.50749,-122.045809,Access 5_Downstream,steelhead4267,27,Putah,HIDR,Above
M129702,M1329,7C,051,5597,NA,Oncorhynchus,mykiss,177.8,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.50749,-122.04581,Access 5_Downstream,steelhead4279,27,Putah,HIDR,Above
M129703,M1329,7D,052,5597,NA,Oncorhynchus,mykiss,330.2,NA,NA,NA,NA,NA,NA,NA,10/20/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, IDR",IDR,NA,NA,38.514554,-122.087888,IDR_Abv_Access1,steelhead4291,27,Putah,HIDR,Above
M129704,M1329,7E,053,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,WA = Winters Aggregate,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4303,27,Putah,HANR,Below
M129705,M1329,7F,054,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4315,27,Putah,HANR,Below
M129706,M1329,7G,055,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4327,27,Putah,HANR,Below
M129707,M1329,7H,056,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4339,27,Putah,HANR,Below
M129708,M1329,8A,057,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4256,27,Putah,HANR,Below
M129709,M1329,8B,058,5597,NA,Oncorhynchus,mykiss,177.8,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4268,27,Putah,HANR,Below
M129710,M1329,8C,059,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4280,27,Putah,HANR,Below
M129711,M1329,8D,060,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,10/21/21,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,NA,NA,"Putah Creek, Anadromous Reach",Anadromous Reach,NA,NA,38.515055,-121.972597,LPC_WA,steelhead4292,27,Putah,HANR,Below
M129712,M1329,8E,MC1,5597,NA,Oncorhynchus,mykiss,152.4,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4304,25,Putah,HMIC,Above
M129713,M1329,8F,MC2,5597,NA,Oncorhynchus,mykiss,152.4,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4316,25,Putah,HMIC,Above
M129714,M1329,8G,MC3,5597,NA,Oncorhynchus,mykiss,152.4,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4328,25,Putah,HMIC,Above
M129715,M1329,8H,MC4,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4340,25,Putah,HMIC,Above
M129716,M1329,9A,MC5,5597,NA,Oncorhynchus,mykiss,177.8,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4257,25,Putah,HMIC,Above
M129717,M1329,9B,MC6,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4269,25,Putah,HMIC,Above
M129718,M1329,9C,MC7,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4281,25,Putah,HMIC,Above
M129719,M1329,9D,MC8,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4293,25,Putah,HMIC,Above
M129720,M1329,9E,MC9,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4305,25,Putah,HMIC,Above
M129721,M1329,9F,MC10,5597,NA,Oncorhynchus,mykiss,152.4,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4317,25,Putah,HMIC,Above
M129722,M1329,9G,MC11,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4329,25,Putah,HMIC,Above
M129723,M1329,9H,MC12,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4341,25,Putah,HMIC,Above
M129724,M1329,10A,MC13,5597,NA,Oncorhynchus,mykiss,152.4,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4258,25,Putah,HMIC,Above
M129725,M1329,10B,MC14,5597,NA,Oncorhynchus,mykiss,127,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,None,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4270,25,Putah,HMIC,Above
M129726,M1329,10C,MC15,5597,NA,Oncorhynchus,mykiss,101.6,NA,NA,NA,NA,NA,NA,NA,2/8/22,NA,LC,3/11/2022,NA,NA,California,San Francisco,Sacramento River,Putah Creek,Capell Creek,Middle Creek,Middle Creek,NA,NA,38.468602,-122.238433,Middle Creek upstream of cabins,steelhead4282,25,Putah,HMIC,Above
